First,Last,Party,State
Benjamin,Tillman,D,SC
George,Wetmore,R,RI
Arthur,Brown,R,UT
Richard,Kenney,D,DE
Alexander,Clay,D,GA
William,Deboe,R,KY
Joseph,Earle,D,SC
Charles,Fairbanks,R,IN
Joseph,Foraker,R,OH
William,Mason,R,IL
Boies,Penrose,R,PA
Edmund,Pettus,D,AL
Joseph,Rawlins,D,UT
John,Spooner,R,WI
George,Wellington,R,MD
Marcus,Hanna,R,OH
Thomas,Turley,D,TN
Hernando,Money,D,MS
Joseph,Simon,R,OR
Jonathan,Ross,R,VT
Albert,Beveridge,R,IN
William,Clark,D,MT
Charles,Culberson,D,TX
Chauncey,Depew,R,NY
Addison,Foster,R,WA
John,Kean,R,NJ
Joseph,Quarles,R,WI
Nathan,Scott,R,WV
Monroe,Hayward,R,NE
James,Taliaferro,D,FL
Thomas,Bard,R,CA
Jonathan,Dolliver,R,IA
William,Dillingham,R,VT
Charles,Towne,D,MN
Thomas,Kearns,R,UT
Moses,Clapp,R,MN
Joseph,Bailey,D,TX
Henry,Burnham,R,NH
Joseph,Burton,R,KS
Edward,Carmack,D,TN
Fred,Dubois,D,ID
Murphy,Foster,D,LA
Robert,Gamble,R,SD
Thomas,Patterson,D,CO
Furnifold,Simmons,D,NC
Paris,Gibson,D,MT
Charles,Dietrich,R,NE
Joseph,Millard,R,NE
Alfred,Kittredge,R,SD
John,Dryden,R,NJ
Russell,Alger,R,MI
Levi,Ankeny,R,WA
James,Clarke,D,AR
Charles,Fulton,R,OR
Weldon,Heyburn,R,ID
Albert,Hopkins,R,IL
Asbury,Latimer,D,SC
Chester,Long,R,KS
Francis,Newlands,D,NV
Lee,Overman,D,NC
Reed,Smoot,R,UT
William,Stone,D,MO
Philander,Knox,R,PA
Morgan,Bulkeley,R,CT
Elmer,Burkett,R,NE
Frank,Flint,R,CA
James,Hemenway,R,IN
George,Nixon,R,NV
Samuel,Piles,R,WA
Isidor,Rayner,D,MD
George,Sutherland,R,UT
William,Warner,R,MO
James,Frazier,D,TN
Frank,Brandegee,R,CT
John,Gearin,D,OR
Robert,Follette,R,WI
Alfred,Benson,R,KS
Henry,Pont,R,DE
Frederick,Mulkey,R,OR
Charles,Curtis,R,KS
William,Borah,R,ID
Frank,Briggs,R,NJ
Norris,Brown,R,NE
Jeff,Davis,D,AR
Joseph,Dixon,R,MT
Simon,Guggenheim,R,CO
Thomas,Paynter,D,KY
Harry,Richardson,R,DE
Robert,Taylor,D,TN
Isaac,Stephenson,R,WI
John,Bankhead,D,AL
Joseph,Johnston,D,AL
Thomas,Gore,D,OK
Robert,Owen,D,OK
William,Bryan,D,FL
Frank,Gary,D,SC
John,Stewart,R,VT
William,Milton,D,FL
Carroll,Page,R,VT
Albert,Cummins,R,IA
William,Bradley,R,KY
Joseph,Bristow,R,KS
Theodore,Burton,R,OH
George,Chamberlain,D,OR
Coe,Crawford,R,SD
Duncan,Fletcher,D,FL
Martin,Johnson,R,ND
Wesley,Jones,R,WA
Elihu,Root,R,NY
Benjamin,Shively,D,IN
Ellison,Smith,D,SC
George,Oliver,R,PA
William,Lorimer,D,IL
Fountain,Thompson,D,ND
James,Gordon,D,MS
William,Purcell,D,ND
Claude,Swanson,D,VA
Lafayette,Young,R,IA
Joseph,Terrell,D,GA
John,Thornton,D,LA
Davis,Elkins,R,WV
Asle,Gronna,R,ND
Clarence,Watson,D,WV
Nathan,Bryan,D,FL
William,Chilton,D,WV
Luke,Lea,D,TN
Henry,Lippitt,R,RI
Gilbert,Hitchcock,D,NE
Charles,Johnson,D,ME
John,Kern,D,IN
James,Martine,D,NJ
Henry,Myers,D,MT
Atlee,Pomerene,D,OH
James,Reed,D,MO
Charles,Townsend,R,MI
John,Works,R,CA
James,Gorman,D,NY
William,Kenyon,R,IA
Obadiah,Gardner,D,ME
Hoke,Smith,D,GA
Thomas,Catron,R,NM
Albert,Fall,R,NM
Marcus,Smith,D,AZ
Newell,Sanders,R,TN
William,Massey,R,NV
Kirtland,Perky,D,ID
William,Jackson,R,MD
Rienzi,Johnston,D,TX
John,Heiskell,D,AR
Charles,Thomas,D,CO
William,Webb,D,TN
William,Kavanaugh,D,AR
Key,Pittman,D,NV
James,Brady,R,ID
Edwin,Burleigh,R,ME
Nathan,Goff,R,WV
William,Hughes,D,NJ
Ollie,James,D,KY
Harry,Lane,D,OR
Joseph,Ransdell,D,LA
Joseph,Robinson,D,AR
John,Shafroth,D,CO
John,Shields,D,TN
Thomas,Sterling,R,SD
William,Thompson,D,KS
James,Vardaman,D,MS
Thomas,Walsh,D,MT
John,Weeks,R,MA
Henry,Hollis,D,NH
Lawrence,Sherman,R,IL
Blair,Lee,D,MD
William,West,D,GA
Francis,White,D,AL
Thomas,Hardwick,D,GA
Robert,Broussard,D,LA
Warren,Harding,R,OH
Paul,Husting,D,WI
Edwin,Johnson,D,SD
James,Phelan,D,CA
Oscar,Underwood,D,AL
Thomas,Taggart,D,IN
Bert,Fernald,R,ME
William,Kirby,D,AR
James,Watson,R,IN
William,Calder,R,NY
Joseph,France,R,MD
Joseph,Frelinghuysen,R,NJ
Peter,Gerry,D,RI
Frederick,Hale,R,ME
Andrieus,Jones,D,NM
Frank,Kellogg,R,MN
John,Kendrick,D,WY
William,King,D,UT
Harry,New,R,IN
Howard,Sutherland,R,WV
Park,Trammel,D,FL
Josiah,Wolcott,D,DE
