Date,Price,Partisan Investing,Job Postings,Equity Investment,Risk Free Rate,Twitter Posts,Twitter Impressions,Twitter Sentiment,Peer Twitter Posts,Peer Twitter Impressions,Peer Twitter Sentiment,Investment in R&D,Environmental Score,Social Score,Governance Score,Peer Investments in R&D,Peer Environmental Score,Peer Social Score,Peer Governance Score,Bipartisan Buying,Bipartisan Selling
2023-03-02,92.0,1.0,0.8133284689286148,0.920923865884017,0.9,51.0,92.619,11.832,36.0,107.736,12.083000000000002,0.1396569036410035,71.72,54.71,56.0,0.2601482080196405,53.34333333333333,56.59666666666666,59.49,0.0305544103030117,-31.25195312500002
2023-03-03,93.65,1.0,0.811321901982245,0.920923865884017,0.9,29.0,25.292,10.812,34.33333333333333,27.996,11.308333333333334,0.1396569036410035,71.72,54.71,56.0,0.2601482080196405,53.34333333333333,56.59666666666666,59.49,0.0152772051515058,-15.62597656250001
2023-03-04,93.65,1.0,0.8094369451538368,0.920923865884017,0.9,14.0,10.276,12.447,15.333333333333334,54.438666666666656,10.158666666666667,0.1396569036410035,71.72,54.71,56.0,0.2601482080196405,53.34333333333333,56.59666666666666,59.49,0.0076386025757529,-7.812988281250005
2023-03-05,93.65,1.0,0.8080384287972758,0.920923865884017,0.9,29.0,83.378,12.297,24.666666666666668,21.395,11.129666666666669,0.1396569036410035,71.72,54.71,56.0,0.2601482080196405,53.34333333333333,56.59666666666666,59.49,0.0038193012878764,-3.906494140625002
2023-03-06,95.13,1.0,0.8067615225586768,0.920923865884017,0.9,11.0,88.56,11.509,25.666666666666668,357.5023333333333,12.221666666666664,0.1396569036410035,71.72,54.71,56.0,0.2601482080196405,53.34333333333333,56.59666666666666,59.49,16250.251909650644,-1.953247070312501
2023-03-07,93.86,1.0,0.805423811261097,0.920923865884017,0.907843137254902,55.0,76.499,13.199000000000002,84.33333333333333,1145.0096666666668,10.699666666666667,0.1396569036410035,71.72,54.71,56.0,0.2601482080196405,53.34333333333333,56.59666666666666,59.49,8125.125954825322,-0.9766235351562508
2023-03-08,94.25,1.0,0.805423811261097,0.920923865884017,0.9,57.0,113.504,10.493000000000002,43.66666666666666,35.01433333333333,11.45133333333333,0.1396569036410035,71.72,54.71,56.0,0.2601482080196405,53.34333333333333,56.59666666666666,59.49,4062.562977412661,-0.4883117675781253
2023-03-09,92.32,1.0,0.8042077100814787,0.920923865884017,0.9137254901960785,33.0,188.151,12.046000000000001,38.0,191.00033333333332,11.594666666666667,0.1396569036410035,71.72,54.71,56.0,0.2601482080196405,53.34333333333333,56.59666666666666,59.49,2031.2814887063305,-0.2441558837890626
2023-03-10,90.63,1.0,0.8074911832664478,0.920923865884017,0.9098039215686274,36.0,25.482,10.857000000000001,47.0,419.3183333333333,11.180333333333333,0.1396569036410035,71.72,54.71,56.0,0.2601482080196405,53.34333333333333,56.59666666666666,59.49,1015.6407443531652,-0.1220779418945313
2023-03-11,90.63,1.0,0.8114435121002066,0.920923865884017,0.9098039215686274,3.0,14.221,9.506,12.666666666666668,21.44,11.563666666666663,0.1396569036410035,71.72,54.71,56.0,0.2601482080196405,53.34333333333333,56.59666666666666,59.49,507.8203721765826,-0.0610389709472656
2023-03-12,90.63,1.0,0.8143013498723093,0.920923865884017,0.9098039215686274,103.0,370.764,11.17,25.0,26.81033333333333,10.007666666666669,0.1396569036410035,71.72,54.71,56.0,0.2601482080196405,53.34333333333333,56.59666666666666,59.49,253.9101860882913,-0.0305194854736328
2023-03-13,91.11,1.0,0.8166727471725648,0.920923865884017,0.8725490196078433,36.0,166.031,11.514,33.333333333333336,223.00233333333333,10.863666666666667,0.1396569036410035,71.72,54.71,56.0,0.2601482080196405,53.34333333333333,56.59666666666666,59.49,126.95509304414566,-0.0152597427368164
2023-03-14,93.97,1.0,0.8192873647087437,0.920923865884017,0.8372549019607843,48.0,358.8,10.329999999999998,46.0,312.005,11.556999999999999,0.1396569036410035,71.72,54.71,56.0,0.2601482080196405,53.34333333333333,56.59666666666666,59.49,63.47754652207283,-0.0076298713684082
2023-03-15,96.11,1.0,0.823604523896388,0.920923865884017,0.796078431372549,35.0,150.09,10.786999999999999,59.0,2073.162,7.277666666666667,0.1396569036410035,71.72,54.71,56.0,0.2601482080196405,53.34333333333333,56.59666666666666,59.49,31.73877326103641,-0.0038149356842041
2023-03-16,100.32,1.0,0.8267663869633953,0.920923865884017,0.7705882352941177,41.0,5133.396,9.995000000000001,74.0,7382.881666666666,10.759,0.1396569036410035,71.72,54.71,56.0,0.2601482080196405,53.34333333333333,56.59666666666666,59.49,15.869386630518209,-0.001907467842102
2023-03-17,101.62,1.0,0.8261583363735863,0.920923865884017,0.8196078431372549,40.0,935.874,11.716999999999999,56.333333333333336,575.655,11.322000000000001,0.1396569036410035,71.72,54.71,56.0,0.2601482080196405,53.34333333333333,56.59666666666666,59.49,7.934693315259103,-0.000953733921051
2023-03-18,101.62,1.0,0.8253070655478535,0.920923865884017,0.8196078431372549,15.0,20.12,10.793,28.0,8746.635,10.790333333333333,0.1396569036410035,71.72,54.71,56.0,0.2601482080196405,53.34333333333333,56.59666666666666,59.49,3.967346657629552,-0.0004768669605255
2023-03-19,101.62,1.0,0.82439498966314,0.920923865884017,0.8196078431372549,41.0,91.801,10.68,35.0,8594.670333333333,7.111999999999999,0.1396569036410035,71.72,54.71,56.0,0.2601482080196405,53.34333333333333,56.59666666666666,59.49,1.983673328814776,-0.0002384334802627
2023-03-20,101.22,1.0,0.8239693542502735,0.920923865884017,0.8215686274509805,49.0,143.933,11.005,42.0,156.29166666666666,10.870999999999999,0.1396569036410035,71.72,54.71,56.0,0.2601482080196405,53.34333333333333,56.59666666666666,59.49,0.991836664407388,-0.0001192167401313
2023-03-21,104.92,1.0,0.823604523896388,0.920923865884017,0.7666666666666667,83.0,5903.337,10.469,82.0,2781.26,9.54,0.1396569036410035,71.72,54.71,56.0,0.2601482080196405,53.34333333333333,56.59666666666666,59.49,0.4959183322036939,-5.960837006568913e-05
2023-03-22,103.37,1.0,0.82238842271677,0.920923865884017,0.7803921568627451,56.0,284.351,11.690000000000001,59.333333333333336,320.169,11.12833333333333,0.1396569036410035,71.72,54.71,56.0,0.2601482080196405,53.34333333333333,56.59666666666666,59.49,0.2479591661018469,-2.9804185032844564e-05
2023-03-23,105.6,1.0,0.8211723215371519,0.920923865884017,0.8098039215686275,69.0,184.345,10.641,99.0,4604.571333333333,11.00933333333333,0.1396569036410035,71.72,54.71,56.0,0.2601482080196405,53.34333333333333,56.59666666666666,59.49,0.1239795830509234,-1.4902092516422282e-05
2023-03-24,105.44,1.0,0.8200778304754955,0.920923865884017,0.8137254901960785,59.0,1337.834,12.135,194.0,263.8393333333333,11.57066666666667,0.1396569036410035,71.72,54.71,56.0,0.2601482080196405,53.34333333333333,56.59666666666666,59.49,0.0619897915254617,-7.451046258211141e-06
2023-03-25,105.44,1.0,0.8186793141189346,0.920923865884017,0.8137254901960785,14.0,12.998,11.327,39.0,24.608333333333334,10.146666666666667,0.1396569036410035,71.72,54.71,56.0,0.2601482080196405,53.34333333333333,56.59666666666666,59.49,0.0309948957627308,-3.7255231291055705e-06
2023-03-26,105.44,1.0,0.8178888483521828,0.920923865884017,0.8137254901960785,26.0,20.19,4.774,37.333333333333336,123.04366666666668,9.761,0.1396569036410035,71.72,54.71,56.0,0.2601482080196405,53.34333333333333,56.59666666666666,59.49,0.0154974478813654,-1.8627615645527848e-06
2023-03-27,102.46,1.0,0.8169767724674694,0.920923865884017,0.7980392156862747,50.0,68.553,10.962999999999997,59.0,147.01233333333334,11.050666666666666,0.1396569036410035,71.72,54.71,56.0,0.2601482080196405,53.34333333333333,56.59666666666666,59.49,0.0077487239406827,-9.313807822763926e-07
2023-03-28,101.03,1.0,0.8163079168186793,0.920923865884017,0.803921568627451,38.0,5913.089,10.869,43.0,377.1123333333333,11.239666666666668,0.1396569036410035,71.72,54.71,56.0,0.2601482080196405,53.34333333333333,56.59666666666666,59.49,0.0038743619703413,-4.656903911381963e-07
2023-03-29,101.39,1.0,0.8156390611698893,0.920923865884017,0.823529411764706,46.0,883.185,10.807,38.66666666666666,2578.633,10.936666666666667,0.1396569036410035,71.72,54.71,56.0,0.2601482080196405,53.34333333333333,56.59666666666666,59.49,0.0019371809851706,-2.3284519556909813e-07
